J1 J2 J3 J5 J6
7.3491 32.128 47.2688 1.7141 11.1954
14.0751 36.2543 53.2735 -0.1951 49.1671
7.3061 26.1887 51.0475 1.3741 9.1521
7.3203 31.9028 47.0095 1.6915 11.0847
14.0876 36.0486 53.0874 -0.2377 49.3856
4.8836 28.3285 42.182 -0.0059 12.7318
1.7197 27.7286 41.2272 0.0085 3.3773
-2.7766 28.0252 41.7817 -0.0009 -10.3893
-7.6299 30.1139 45.1261 -0.0005 -25.6715
-13.2533 36.4806 53.6942 -0.0015 -49.652
-10.7859 34.2025 49.6511 -0.5221 -33.2911
-5.1276 32.9122 46.1885 -1.0315 -7.0732
-13.554 36.8474 54.3731 0.1446 -52.714
-6.3972 29.1052 43.7898 -0.0018 -23.0015
0.0882 27.5673 41.0148 -0.0017 -0.6305
3.2866 27.7859 41.3695 0.0142 7.7065
9.8662 30.6956 46.0573 0.0185 30.0939
13.6528 35.0245 51.8419 0.0285 45.4216
7.29 31.667 46.7364 1.6679 10.9687
7.2324 20.3495 54.2624 1.0315 7.0732
16.9947 26.8821 63.7722 -0.1446 52.7139
8.7128 16.3514 50.4288 0.0018 23.0015
1.2253 14.2798 47.0662 0.0017 0.6305
-2.4679 14.5415 47.5091 -0.0142 -7.7066
-10.0771 18.3748 53.3102 -0.0185 -30.0939
-14.4698 24.1921 60.6876 -0.0285 -45.4216
-7.0964 20.9928 53.5121 -1.6679 -10.9687
-5.1276 32.9122 46.1885 -1.0315 -7.0732
-5.1407 32.6672 45.9373 -1.0076 -7.124
-13.4923 36.4492 53.9544 0.1396 -52.1081
-6.3914 28.9333 43.5684 -0.003 -22.744
-0.0182 27.4376 40.854 -0.0026 -0.761
3.3437 27.65 41.205 0.0243 7.6775
9.8137 30.4641 45.7695 0.0313 29.6759
13.5726 34.659 51.4377 0.0426 44.8254
7.2599 31.4325 46.4628 1.6443 10.8532
7.2478 20.0439 53.9225 1.0076 7.124
16.9223 26.3499 63.2245 -0.1396 52.1081
8.7057 16.1278 50.1482 0.003 22.744
1.3481 14.1146 46.8623 0.0026 0.761
-2.5338 14.3736 47.2976 -0.0243 -7.6775
-10.0163 18.0778 52.9384 -0.0313 -29.6759
-14.3764 23.7101 60.1552 -0.0426 -44.8254
-7.0616 20.6747 53.1825 -1.6443 -10.8532
-5.1407 32.6672 45.9373 -1.0076 -7.124
-5.154 32.419 45.6884 -0.9839 -7.1743
-10.6714 32.0731 48.2344 -0.0052 -37.2047
-6.3851 28.7626 43.347 -0.0042 -22.4852
-0.125 27.3086 40.6932 -0.0035 -0.8929
3.4006 27.5147 41.0403 0.0345 7.6482
9.76 30.2344 45.4816 0.0441 29.2544
13.4894 34.2955 51.0308 0.0567 44.2197
7.23 31.1993 46.1889 1.6209 10.7382
7.2631 19.7399 53.5824 0.9839 7.1743
13.649 20.3564 55.9644 0.0052 37.2047
8.698 15.9057 49.8679 0.0042 22.4852
1.4713 13.9502 46.6583 0.0035 0.8929
-2.5996 14.2067 47.0861 -0.0345 -7.6482
-9.954 17.7836 52.567 -0.0441 -29.2543
-14.2795 23.231 59.6199 -0.0567 -44.2197
-7.0269 20.3582 52.8525 -1.6209 -10.7382
-5.154 32.419 45.6884 -0.9839 -7.1743
-5.1671 32.1718 45.4387 -0.9604 -7.2241
-10.6004 31.7904 47.8866 -0.0065 -36.6941
-6.3784 28.5929 43.1256 -0.0053 -22.2253
-0.2321 27.1802 40.5322 -0.0044 -1.0262
3.4574 27.38 40.8754 0.0447 7.6186
9.705 30.0065 45.1937 0.0568 28.8292
13.4031 33.9341 50.6213 0.0707 43.6043
7.2001 30.9674 45.9146 1.5976 10.6237
7.2782 19.4373 53.2419 0.9604 7.2241
13.5662 19.9812 55.5186 0.0065 36.6941
8.69 15.6854 49.5881 0.0053 22.2253
1.595 13.7868 46.4545 0.0044 1.0262
-2.6653 14.0406 46.8745 -0.0447 -7.6187
-9.8903 17.4922 52.1964 -0.0568 -28.8292
-14.1791 22.7551 59.0822 -0.0707 -43.6043
-6.9924 20.0432 52.5219 -1.5976 -10.6237
-5.1671 32.1718 45.4387 -0.9604 -7.2241
-5.1801 31.9257 45.1882 -0.937 -7.2736
-10.5276 31.5102 47.5385 -0.0078 -36.1788
-6.3714 28.4245 42.9043 -0.0065 -21.9643
-0.3396 27.0526 40.3712 -0.0054 -1.1609
2.1295 27.0698 40.4285 0.0568 3.5677
8.2937 28.8767 43.536 0.0713 23.9168
13.3138 33.5749 50.2092 0.0846 42.9793
7.1703 30.7368 45.6401 1.5744 10.5097
7.2932 19.1363 52.901 0.937 7.2736
13.4815 19.6096 55.073 0.0078 36.1788
8.6815 15.4666 49.3086 0.0065 21.9643
1.719 13.6244 46.2509 0.0054 1.1609
-1.1316 13.6616 46.3127 -0.0568 -3.5677
-8.2564 16.0189 50.1156 -0.0713 -23.9168
-14.0752 22.2826 58.5421 -0.0846 -42.9793
-6.958 19.7297 52.1909 -1.5744 -10.5097
-5.1801 31.9257 45.1882 -0.937 -7.2736
-5.193 31.6806 44.9368 -0.9139 -7.3225
-10.4532 31.2326 47.19 -0.0091 -35.6588
-6.3639 28.2572 42.683 -0.0077 -21.7021
-0.4475 26.9257 40.2102 -0.0063 -1.2971
2.2118 26.9397 40.2681 0.0668 3.607
8.2601 28.6858 43.2888 0.0834 23.5711
13.2213 33.218 49.7948 0.0985 42.3445
7.1407 30.5075 45.3651 1.5513 10.3962
7.308 18.8367 52.5597 0.9139 7.3225
13.3948 19.2416 54.6277 0.0091 35.6588
8.6725 15.2494 49.0294 0.0077 21.7021
1.8435 13.4629 46.0474 0.0063 1.2971
-1.2266 13.5016 46.1076 -0.0668 -3.607
-8.2175 15.7783 49.7995 -0.0834 -23.5711
-13.9676 21.8138 58.0 -0.0985 -42.3445
-6.9238 19.4178 51.8594 -1.5513 -10.3962
-5.193 31.6806 44.9368 -0.9139 -7.3225
-5.2058 31.4366 44.6846 -0.891 -7.3711
-10.377 30.9577 46.8414 -0.0104 -35.1342
-6.356 28.0911 42.4618 -0.0089 -21.4388
-0.5558 26.7995 40.0491 -0.0073 -1.4347
2.2942 26.8102 40.1076 0.0769 3.6467
8.2256 28.4963 43.0419 0.0956 23.2229
13.1255 32.8637 49.3782 0.1123 41.6998
7.1112 30.2795 45.0899 1.5284 10.2832
7.3228 18.5387 52.2182 0.891 7.3711
13.3061 18.8774 54.183 0.0104 35.1342
8.663 15.0339 48.7507 0.0089 21.4388
1.9684 13.3023 45.844 0.0073 1.4347
-1.3218 13.3424 45.9024 -0.0769 -3.6467
-8.1776 15.5398 49.4839 -0.0956 -23.2228
-13.8563 21.3489 57.4561 -0.1123 -41.6998
-6.8897 19.1074 51.5274 -1.5284 -10.2832
-5.2058 31.4366 44.6846 -0.891 -7.3711
-5.2185 31.1937 44.4317 -0.8683 -7.4192
-10.299 30.6854 46.4927 -0.0116 -34.6048
-6.3477 27.9261 42.2407 -0.0101 -21.1743
-0.6645 26.6739 39.888 -0.0082 -1.5738
2.3767 26.6812 39.9468 0.0871 3.6869
8.1902 28.3082 42.795 0.1078 22.8719
13.0266 32.5122 48.9598 0.126 41.0453
7.0818 30.0528 44.8144 1.5056 10.1707
7.3374 18.2422 51.8763 0.8683 7.4192
13.2153 18.5171 53.7389 0.0116 34.6048
8.6531 14.8201 48.4725 0.0101 21.1743
2.0938 13.1428 45.6408 0.0082 1.5738
-1.4171 13.1842 45.6972 -0.0871 -3.6869
-8.1367 15.3035 49.169 -0.1078 -22.8719
-13.7412 20.8881 56.9107 -0.126 -41.0453
-6.8557 18.7987 51.1952 -1.5056 -10.1707
-5.2185 31.1937 44.4317 -0.8683 -7.4192
-5.231 30.9519 44.1781 -0.8457 -7.4669
-10.2194 30.4159 46.144 -0.0129 -34.0709
-6.3391 27.7623 42.0197 -0.0113 -20.9087
-0.7735 26.5491 39.7269 -0.0092 -1.7144
2.4593 26.5528 39.7859 0.0974 3.7275
8.154 28.1215 42.5483 0.12 22.5183
12.9243 32.1634 48.5394 0.1397 40.3808
7.0526 29.8275 44.5387 1.4829 10.0587
7.3519 17.9474 51.5341 0.8457 7.4669
13.1227 18.1606 53.2955 0.0129 34.0709
8.6427 14.6079 48.1948 0.0113 20.9087
2.2196 12.9841 45.4377 0.0092 1.7145
-1.5125 13.0269 45.4919 -0.0974 -3.7275
-8.0948 15.0693 48.8547 -0.12 -22.5183
-13.6223 20.4318 56.3641 -0.1397 -40.3808
-6.8219 18.4916 50.8625 -1.4829 -10.0587
-5.231 30.9519 44.1781 -0.8457 -7.4669
-5.2435 30.7112 43.9236 -0.8234 -7.5143
-10.1379 30.1493 45.7954 -0.0142 -33.5324
-5.2779 27.2203 41.0577 -0.0122 -16.4813
-0.883 26.425 39.5657 -0.0102 -1.8566
2.542 26.4249 39.6247 0.1078 3.7685
8.1169 27.9362 42.3018 0.1323 22.162
12.8186 31.8177 48.1175 0.1533 39.7063
7.0234 29.6034 44.2625 1.4603 9.9472
7.3662 17.6541 51.1918 0.8234 7.5143
13.028 17.8081 52.853 0.0142 33.5324
7.4167 13.8938 47.0253 0.0122 16.4813
2.3459 12.8265 45.2349 0.0102 1.8566
-1.6081 12.8706 45.2867 -0.1078 -3.7686
-8.0519 14.8374 48.5412 -0.1323 -22.162
-13.4996 19.9801 55.8165 -0.1533 -39.7063
-6.7882 18.1861 50.5294 -1.4603 -9.9472
-5.2435 30.7112 43.9236 -0.8234 -7.5143
-5.2559 30.4717 43.6685 -0.8012 -7.5612
-10.0548 29.8855 45.4471 -0.0155 -32.9893
-5.2929 27.0751 40.8628 -0.0134 -16.3152
-0.9929 26.3016 39.4046 -0.0112 -2.0003
2.6248 26.2976 39.4635 0.1184 3.8101
8.079 27.7524 42.0556 0.1445 21.8031
12.7096 31.4751 47.6941 0.1668 39.0217
6.9944 29.3807 43.9861 1.4378 9.8362
7.3805 17.3624 50.849 0.8012 7.5612
12.9313 17.4597 52.4116 0.0155 32.9893
7.4338 13.707 46.7808 0.0134 16.3152
2.4726 12.6698 45.0322 0.0112 2.0003
-1.7038 12.7153 45.0814 -0.1184 -3.8101
-8.008 14.6077 48.2285 -0.1445 -21.8031
-13.3729 19.5333 55.2684 -0.1668 -39.0217
-6.7547 17.8822 50.196 -1.4378 -9.8362
-5.2559 30.4717 43.6685 -0.8012 -7.5612
-5.2681 30.2332 43.4126 -0.7793 -7.6077
-9.9699 29.6246 45.0991 -0.0167 -32.4417
-5.3077 26.9308 40.668 -0.0145 -16.1482
-1.1032 26.1789 39.2434 -0.0122 -2.1456
2.7078 26.1709 39.302 0.129 3.8521
8.0401 27.57 41.8098 0.1569 21.4415
12.5971 31.1359 47.2695 0.1802 38.3271
6.9655 29.1594 43.7095 1.4154 9.7257
7.3946 17.0723 50.5061 0.7793 7.6077
12.8326 17.1155 51.9714 0.0167 32.4417
7.4506 13.5215 46.5365 0.0145 16.1482
2.5998 12.5141 44.8298 0.0122 2.1456
-1.7996 12.5608 44.876 -0.129 -3.8521
-7.963 14.3802 47.9166 -0.1569 -21.4415
-13.2422 19.0916 54.72 -0.1802 -38.3271
-6.7213 17.58 49.8623 -1.4154 -9.7257
-5.2681 30.2332 43.4126 -0.7793 -7.6077
-5.2803 29.9959 43.156 -0.7575 -7.6538
-9.8833 29.3667 44.7516 -0.018 -31.8897
-5.3222 26.7873 40.4729 -0.0156 -15.9803
-1.2139 26.0569 39.0823 -0.0132 -2.2924
2.7908 26.0447 39.1403 0.1398 3.8945
6.321 26.7205 40.3888 0.1605 15.3976
10.9215 29.2856 44.6098 0.1844 31.4334
6.9367 28.9394 43.4326 1.3932 9.6157
7.4085 16.7839 50.1631 0.7575 7.6538
12.7319 16.7755 51.5326 0.018 31.8897
7.4671 13.337 46.2922 0.0156 15.9803
2.7275 12.3594 44.6276 0.0132 2.2924
-1.8956 12.4074 44.6707 -0.1398 -3.8945
-5.9749 13.2843 46.176 -0.1605 -15.3976
-11.2992 16.6447 51.3678 -0.1844 -31.4334
-6.688 17.2795 49.5283 -1.3932 -9.6157
-5.2803 29.9959 43.156 -0.7575 -7.6538
-5.2923 29.7597 42.8987 -0.7358 -7.6995
-9.7949 29.1117 44.4046 -0.0192 -31.3333
-5.3365 26.6446 40.2777 -0.0168 -15.8115
-1.325 25.9357 38.9212 -0.0143 -2.4409
2.874 25.919 38.9784 0.1507 3.9374
6.3204 26.5702 40.1877 0.1725 15.1713
10.8221 29.0203 44.2541 0.1974 30.8311
6.9081 28.7207 43.1554 1.3711 9.5061
7.4224 16.4971 49.8197 0.7358 7.6995
12.6293 16.4398 51.0953 0.0192 31.3333
7.4833 13.1538 46.0482 0.0168 15.8115
2.8556 12.2057 44.4257 0.0143 2.4409
-1.9917 12.2549 44.4654 -0.1507 -3.9375
-5.9742 13.1002 45.9214 -0.1725 -15.1713
-11.1839 16.3056 50.9145 -0.1974 -30.8311
-6.6549 16.9806 49.1939 -1.3711 -9.5061
-5.2923 29.7597 42.8987 -0.7358 -7.6995
-5.3042 29.5247 42.6407 -0.7144 -7.7448
-9.7048 28.8599 44.0583 -0.0205 -30.7725
-5.3505 26.5028 40.0825 -0.018 -15.6419
-1.4366 25.8152 38.7602 -0.0153 -2.5911
2.9573 25.794 38.8165 0.1618 3.9809
6.3193 26.4208 39.9866 0.1845 14.9433
10.7204 28.7581 43.899 0.2104 30.2225
6.8795 28.5033 42.8779 1.3491 9.397
7.4361 16.212 49.4762 0.7144 7.7448
12.5247 16.1083 50.6595 0.0205 30.7725
7.4992 12.9717 45.8043 0.018 15.6419
2.9843 12.053 44.224 0.0153 2.5911
-2.088 12.1034 44.26 -0.1618 -3.9809
-5.973 12.9174 45.6671 -0.1845 -14.9433
-11.066 15.9712 50.4629 -0.2104 -30.2225
-6.6219 16.6835 48.8593 -1.3491 -9.397
-5.3042 29.5247 42.6407 -0.7144 -7.7448
-5.316 29.2908 42.3819 -0.6932 -7.7897
-9.613 28.6111 43.7129 -0.0217 -30.2073
-5.3642 26.3618 39.8872 -0.0191 -15.4713
-1.5486 25.6954 38.5991 -0.0164 -2.7429
3.0407 25.6695 38.6543 0.1729 4.0248
6.3177 26.2723 39.7854 0.1965 14.7136
10.6164 28.4989 43.5446 0.2234 29.6076
6.8511 28.2874 42.6003 1.3271 9.2885
7.4498 15.9285 49.1325 0.6932 7.7897
12.4181 15.7813 50.2256 0.0217 30.2073
7.5147 12.7908 45.5606 0.0191 15.4713
3.1134 11.9013 44.0226 0.0164 2.7429
-2.1844 11.9528 44.0546 -0.1729 -4.0248
-5.9712 12.736 45.4131 -0.1965 -14.7136
-10.9454 15.6415 50.0131 -0.2234 -29.6076
-6.589 16.388 48.5245 -1.3271 -9.2885
-5.316 29.2908 42.3819 -0.6932 -7.7897
-5.3278 29.0581 42.1226 -0.6721 -7.8343
-9.5196 28.3654 43.3683 -0.0229 -29.638
-5.3777 26.2216 39.6917 -0.0203 -15.2999
-1.661 25.5763 38.4382 -0.0174 -2.8964
3.1242 25.5456 38.492 0.1842 4.0692
6.3157 26.1247 39.5844 0.2086 14.4823
10.5101 28.2431 43.1911 0.2363 28.9866
6.8228 28.0728 42.3224 1.3053 9.1804
7.4633 15.6467 48.7886 0.6721 7.8343
12.3096 15.4588 49.7937 0.0229 29.638
7.53 12.6111 45.317 0.0203 15.2999
3.243 11.7506 43.8214 0.0174 2.8964
-2.2809 11.8032 43.8493 -0.1842 -4.0692
-5.9688 12.5561 45.1595 -0.2086 -14.4823
-10.8222 15.3167 49.5655 -0.2363 -28.9866
-6.5563 16.0943 48.1894 -1.3053 -9.1804
-5.3278 29.0581 42.1226 -0.6721 -7.8343
-5.3394 28.8266 41.8626 -0.6512 -7.8785
-9.4244 28.123 43.0249 -0.0242 -29.0645
-5.3909 26.0823 39.4963 -0.0214 -15.1276
-1.774 25.458 38.2773 -0.0185 -3.0517
3.2079 25.4223 38.3295 0.1956 4.1142
6.3131 25.978 39.3834 0.2208 14.2493
10.4016 27.9905 42.8387 0.2492 28.3595
6.7946 27.8595 42.0442 1.2836 9.0727
6.7338 19.7856 46.4859 0.8842 6.6172
7.4767 15.3666 48.4446 0.6512 7.8785
12.1992 15.1407 49.3639 0.0242 29.0645
7.5449 12.4327 45.0737 0.0214 15.1276
3.3732 11.601 43.6207 0.0185 3.0517
-2.3777 11.6547 43.644 -0.1956 -4.1142
-5.9659 12.3776 44.9062 -0.2208 -14.2493
-10.6965 14.9968 49.1201 -0.2492 -28.3595
-6.5237 15.8022 47.854 -1.2836 -9.0727
-5.251 24.3739 44.2321 -0.8842 -6.6172
-5.3394 28.8266 41.8626 -0.6512 -7.8785
-5.3509 28.5962 41.6019 -0.6304 -7.9223
