309.0, -3.1474, 79.0283, [[0.0, 0.0, -1.0], [0.180301812, -0.983611334, 0.0], [-0.983611334, -0.180301812, 0.0]]
309.0, -8.3058, 76.9529, [[0.0, 0.0, -1.0], [0.433199964, -0.901297837, 0.0], [-0.901297837, -0.433199964, 0.0]]
309.0, -11.1765, 74.6146, [[0.0, 0.0, -1.0], [0.762130503, -0.647423429, 0.0], [-0.647423429, -0.762130503, 0.0]]
309.0, -15.5392, 69.1708, [[-0.00759972708500382, -0.004990204293688043, -0.99995867], [0.548878101, -0.835902405, 0.0], [-0.8358678571536015, -0.5488554158680857, 0.009091644]]
308.9859, -20.0, 64.3725, [[-0.007600740765598476, -0.004990568045906665, -0.999958661], [0.548854904, -0.835917636, 0.0], [-0.8358830800008454, -0.5488322148871235, 0.009092691]]
309.0, -10.0178, 76.3858, [[0.001500048140067456, 0.001970001771511424, -0.999996934], [0.795607994, -0.605811786, 0.0], [-0.6058099285810641, -0.7956055546658904, -0.002476096]]
309.0, -5.2639, 79.0478, [[0.0, 0.0, -1.0], [0.390792178, -0.920478937, 0.0], [-0.920478937, -0.390792178, 0.0]]
309.0, -1.6648, 79.7088, [[0.0, 0.0, -1.0], [0.011000414, -0.999939494, 0.0], [-0.999939494, -0.011000414, 0.0]]
309.0, 3.4919, 79.4979, [[0.00019993777308544, -2.705521178464e-05, -0.99999998], [-0.134096014, -0.990968344, 0.0], [-0.9909683241806332, 0.13409601131807974, -0.00020176]]
309.0, 8.5409, 77.4565, [[0.000300053163519945, -0.00017388576192289498, -0.99999994], [-0.501405035, -0.865212685, 0.0], [-0.865212633087239, 0.501405004915698, -0.000346797]]
309.0, 11.3539, 75.1653, [[0.000300009351391188, -0.000304453032207231, -0.999999909], [-0.712285801, -0.701889548, 0.0], [-0.7018894841280512, 0.7122857361819922, -0.000427431]]
309.0, 20.0, 65.83930000000001, [[0.007600740765598476, -0.004990568045906665, -0.999958661], [-0.548854904, -0.835917636, 0.0], [-0.8358830800008454, 0.5488322148871235, -0.009092691]]
