X Y Z Matriz de rotación
-20.0, -9.9524, 43.0624, [[0.002200144156229888, 0.002546077362990524, -0.999994338], [0.756637873, -0.653834176, 0.0], [-0.6538304739908956, -0.756633588916363, -0.003364988]]
-20.0, -20.0, 32.3962, [[-0.029300633852209587, -0.00580073577544556, -0.999553813], [0.194203876, -0.980961189, 0.0], [-0.9805234968699637, -0.1941172247551792, 0.02986931]]
-18.9913, -20.0, 32.3592, [[-0.029400006087995447, -0.005823400327789409, -0.999550763], [0.194299924, -0.980942169, 0.0], [-0.9805014934828249, -0.19421263728504204, 0.029971192]]
-20.0, -2.7449, 46.6102, [[0.00010000525983551999, 1.325603269536e-05, -0.999999995], [0.131403972, -0.991328904, 0.0], [-0.9913288990433554, -0.13140397134298015, -0.00010088]]
-20.0, -5.3786, 45.8404, [[0.00039993350660114796, 0.00010764522386259199, -0.999999914], [0.259907776, -0.965633444, 0.0], [-0.9656333609555238, -0.25990775364793123, -0.000414167]]
-20.0, 15.5392, 37.1708, [[0.00759972708500382, -0.004990204293688043, -0.99995867], [-0.548878101, -0.835902405, 0.0], [-0.8358678571536015, 0.5488554158680857, -0.009091644]]
-20.0, 11.1765, 42.6146, [[0.0, 0.0, -1.0], [-0.762130503, -0.647423429, 0.0], [-0.647423429, 0.762130503, 0.0]]
-20.0, 8.3058, 44.9529, [[0.0, 0.0, -1.0], [-0.433199964, -0.901297837, 0.0], [-0.901297837, 0.433199964, 0.0]]
-20.0, 3.1474, 47.0283, [[0.0, 0.0, -1.0], [-0.180301812, -0.983611334, 0.0], [-0.983611334, 0.180301812, 0.0]]
-20.0, -1.2916, 47.255, [[-0.000100008086752914, -5.90048286957e-06, -0.999999995], [0.058897635, -0.998264027, 0.0], [-0.9982640220086799, -0.05889763470551183, 0.000100182]]
-20.0, -4.9627, 46.5786, [[9.993163442566801e-05, 2.2580430607397e-05, -0.999999995], [0.220402247, -0.975409068, 0.0], [-0.9754090631229547, -0.22040224589798876, -0.000102451]]
-20.0, -9.8146, 43.8644, [[0.00269993244299399, 0.0031482388230218506, -0.999991399], [0.759084775, -0.650991785, 0.0], [-0.6509861858196572, -0.7590782461118503, -0.004147414]]
-20.0, -20.0, 33.0992, [[-0.029000240778156418, -0.005682866948789482, -0.99956325], [0.192301882, -0.981335817, 0.0], [-0.9809072185819253, -0.1922178941530365, 0.029551801]]
0.1742, -20.0, 32.3592, [[-0.023699465899992476, -0.003819155836826143, -0.999711833], [0.159096883, -0.987262975, 0.0], [-0.9869784783902832, -0.15905103652851654, 0.024005221]]
20.0, 5.3786, 45.8404, [[-0.00039993350660114796, 0.00010764522386259199, -0.999999914], [-0.259907776, -0.965633444, 0.0], [-0.9656333609555238, 0.25990775364793123, 0.000414167]]
20.0, 2.7448, 46.6102, [[-0.00010000525983551999, 1.325603269536e-05, -0.999999995], [-0.131403972, -0.991328904, 0.0], [-0.9913288990433554, 0.13140397134298015, 0.00010088]]
18.9913, 20.0, 32.3592, [[0.029400006087995447, -0.005823400327789409, -0.999550763], [-0.194299924, -0.980942169, 0.0], [-0.9805014934828249, 0.19421263728504204, -0.029971192]]
20.0, 20.0, 32.3962, [[0.029300633852209587, -0.00580073577544556, -0.999553813], [-0.194203876, -0.980961189, 0.0], [-0.9805234968699637, 0.1941172247551792, -0.02986931]]
20.0, 9.9525, 43.0623, [[-0.002200008351819785, 0.002545503486232265, -0.99999434], [-0.756584921, -0.653895449, 0.0], [-0.6538917479517586, 0.7565806387293471, 0.003364465]]
-0.1742, 20.0, 32.3592, [[0.023699465899992476, -0.003819155836826143, -0.999711833], [-0.159096883, -0.987262975, 0.0], [-0.9869784783902832, 0.15905103652851654, -0.024005221]]
20.0, 20.0, 33.0993, [[0.029000240778156418, -0.005682866948789482, -0.99956325], [-0.192301882, -0.981335817, 0.0], [-0.9809072185819253, 0.1922178941530365, -0.029551801]]
20.0, 9.8147, 43.8644, [[-0.00269993244299399, 0.0031482388230218506, -0.999991399], [-0.759084775, -0.650991785, 0.0], [-0.6509861858196572, 0.7590782461118503, 0.004147414]]
