X Y Z Rotation_Matrix
-30.0, -9.952375679774704, 43.06240059596144, [[0.002227252983574392, 0.0025773212653052878, -0.999994198], [0.756621896, -0.653852664, 0.0], [-0.6538488703468435, -0.7566175060797594, -0.003406353]]
-30.0, -19.999998092651367, 32.39616398093758, [[-0.02934352864419025, -0.005807748234657249, -0.999552514], [0.194156279, -0.980970611, 0.0], [-0.9805316403851662, -0.1940693967833354, 0.02991275]]
-28.991340959064893, -19.999998092651367, 32.359161376953125, [[-0.02936330106024416, -0.00581477188087366, -0.999551892], [0.194256266, -0.980950816, 0.0], [-0.980511244091744, -0.1941692182131553, 0.02993351]]
-30.0, -2.7448965359286106, 46.610165109916906, [[8.460726503379299e-05, 1.1212542521873998e-05, -0.999999996], [0.131375942, -0.991332619, 0.0], [-0.9913326150346695, -0.13137594147449622, -8.5347e-05]]
-30.0, -5.378598066323043, 45.84042889812858, [[0.000387298040173777, 0.000104225659226651, -0.99999992], [0.259864463, -0.965645101, 0.0], [-0.965645023748392, -0.259864442210843, -0.000401077]]
-30.0, 15.539196517242587, 37.17075670260051, [[0.007616707207889927, -0.005001546101880669, -0.999958484], [-0.548892836, -0.835892729, 0.0], [-0.8358580260774628, 0.5488700481650207, -0.009112063]]
-30.0, 11.176470588235297, 42.61461744121477, [[1.6497769240182e-05, -1.9420502937204e-05, -1.0], [-0.762126322, -0.647428351, 0.0], [-0.647428351, 0.762126322, -2.5482e-05]]
-30.0, 8.305793206322363, 44.9529303184342, [[8.651509308829002e-06, -4.158387627896e-06, -1.0], [-0.433210504, -0.901292771, 0.0], [-0.901292771, 0.433210504, -9.599e-06]]
-30.0, 3.147398957084434, 47.02829265837539, [[1.6137025319817997e-05, -2.9585891840179995e-06, -1.0], [-0.180335803, -0.983605103, 0.0], [-0.983605103, 0.180335803, -1.6406e-05]]
-30.0, -1.2915773283257508, 47.255026984677215, [[-0.000148792132098526, -8.780776997475e-06, -0.999999989], [0.058911225, -0.998263226, 0.0], [-0.9982632150191044, -0.05891122435197652, 0.000149051]]
-30.0, -4.962695532350558, 46.57861881641762, [[0.0001002723764216, 2.26559159036e-05, -0.999999995], [0.220388287, -0.975412222, 0.0], [-0.9754122171229389, -0.22038828589805856, -0.0001028]]
-30.0, -9.814648976336777, 43.864389707802744, [[0.0027006185761671198, 0.0031492602252768597, -0.999991394], [0.759107385, -0.65096542, 0.0], [-0.6509598177915955, -0.7591008521218446, -0.004148636]]
-30.0, -19.999998092651367, 33.09924928276474, [[-0.028967780455148782, -0.005675235583559886, -0.999564235], [0.192260434, -0.981343939, 0.0], [-0.9809163036584218, -0.192176653631978, 0.029518479]]
-9.825842592123777, -19.999998092651367, 32.359161376953125, [[-0.023675682267716686, -0.003814301426445576, -0.999712415], [0.159055357, -0.987269666, 0.0], [-0.9869857420531033, -0.15900961506515715, 0.023980968]]
10.0, 5.378558742361911, 45.84044521400629, [[-0.000387298385902151, 0.000104224374978097, -0.99999992], [-0.259861261, -0.965645963, 0.0], [-0.9656458857483231, 0.25986124021109913, 0.000401077]]
10.0, 2.744830584970117, 46.61017350753237, [[-8.4607302245085e-05, 1.1212261986285e-05, -0.999999996], [-0.131372655, -0.991333055, 0.0], [-0.9913330510346678, 0.13137265447450938, 8.5347e-05]]
8.991289662835548, 20.0, 32.359161376953125, [[0.02936330106024416, -0.00581477188087366, -0.999551892], [-0.194256266, -0.980950816, 0.0], [-0.980511244091744, 0.1941692182131553, -0.02993351]]
10.0, 20.0, 32.396165863291905, [[0.02934352864419025, -0.005807748234657249, -0.999552514], [-0.194156279, -0.980970611, 0.0], [-0.9805316403851662, 0.1940693967833354, -0.02991275]]
10.0, 9.952453380414177, 43.06232952116618, [[-0.002227032680803519, 0.0025770490634271837, -0.9999942], [-0.756619728, -0.653855173, 0.0], [-0.6538513806399966, 0.7566153396055776, 0.003406003]]
-10.174206743300118, 20.0, 32.359161376953125, [[0.02367568293918379, -0.0038142972777381115, -0.999712415], [-0.159055184, -0.987269694, 0.0], [-0.986985770045051, 0.15900944211490933, -0.023980968]]
10.0, 20.0, 33.099251103729124, [[0.028967780455148782, -0.005675235583559886, -0.999564235], [-0.192260434, -0.981343939, 0.0], [-0.9809163036584218, 0.192176653631978, -0.029518479]]
10.0, 9.81465180841704, 43.86438727643255, [[-0.0027006191237870718, 0.003149259752332356, -0.999991394], [-0.759107271, -0.650965552, 0.0], [-0.6509599497904595, 0.7591007381228257, 0.004148636]]
10.0, 4.962695557837293, 46.57861879945882, [[-0.00010027240016840001, 2.2655810944800002e-05, -0.999999995], [-0.220387266, -0.975412453, 0.0], [-0.9754124481229378, 0.22038726489806368, 0.0001028]]
10.0, 1.2915774307865178, 47.25502706757371, [[0.00014879213358903601, -8.780751062601e-06, -0.999999989], [-0.058911051, -0.998263236, 0.0], [-0.9982632250191044, 0.05891105035197844, -0.000149051]]
10.0, -3.1473991487222293, 47.0282929672898, [[-1.6137025319817997e-05, -2.9585891840179995e-06, -1.0], [0.180335803, -0.983605103, 0.0], [-0.983605103, -0.180335803, 1.6406e-05]]
10.0, -8.305790301158552, 44.952932193639114, [[-8.651509308829002e-06, -4.158387627896e-06, -1.0], [0.433210504, -0.901292771, 0.0], [-0.901292771, -0.433210504, 9.599e-06]]
10.0, -11.176470555645935, 42.61461745614231, [[-1.6497769240182e-05, -1.9420502937204e-05, -1.0], [0.762126322, -0.647428351, 0.0], [-0.647428351, -0.762126322, 2.5482e-05]]
10.0, -15.539190186867977, 37.17076249315876, [[-0.007616704592727846, -0.005001550092964262, -0.999958484], [0.548893274, -0.835892442, 0.0], [-0.8358577390893779, -0.5488704861468366, 0.009112063]]
9.985868309934212, -19.999998092651367, 32.372459593584054, [[-0.017865267745465332, -0.0022167638026626348, -0.999837946], [0.123137995, -0.992389558, 0.0], [-0.9922287373025678, -0.12311803999535827, 0.018002273]]
10.0, -10.017841224346554, 44.38578110516513, [[0.001529187234257389, 0.002008360099855035, -0.999996814], [0.795621105, -0.605794567, 0.0], [-0.6057926369385095, -0.7956185701511594, -0.002524267]]
10.0, -5.263919298952366, 47.0477905066755, [[-2.8597000115072998e-05, -1.2139607611502999e-05, -1.0], [0.390755709, -0.920494419, 0.0], [-0.920494419, -0.390755709, 3.1067e-05]]
10.0, -1.6648220628811217, 47.70880346974331, [[-2.9669203687989e-05, -3.26486480405e-07, -1.0], [0.011003555, -0.999939459, 0.0], [-0.999939459, -0.011003555, 2.9671e-05]]
10.0, 3.4919285108966562, 47.497919397924996, [[0.000246290212742805, -3.3328326528945e-05, -0.999999969], [-0.134099127, -0.990967923, 0.0], [-0.9909678922799944, 0.13409912284292708, -0.000248535]]
10.0, 8.540909441966363, 45.456510667349065, [[0.00027981585914202, -0.00016216384666957, -0.999999948], [-0.501418777, -0.865204722, 0.0], [-0.8652046770093544, 0.5014187509262237, -0.00032341]]
10.0, 11.353913875707647, 43.165344036338894, [[0.00034900789410854396, -0.000354182277328044, -0.999999876], [-0.712290701, -0.701884576, 0.0], [-0.7018844889663125, 0.7122906126759531, -0.000497244]]
10.0, 20.0, 33.83934083050515, [[0.028573816901195412, -0.005537989765901208, -0.999576344], [-0.190272716, -0.981731274, 0.0], [-0.9813153576553822, 0.1901921058222303, -0.029105538]]
-30.0, 20.0, 32.37242336583142, [[0.017865267745465332, -0.0022167638026626348, -0.999837946], [-0.123137995, -0.992389558, 0.0], [-0.9922287373025678, 0.12311803999535827, -0.018002273]]
-30.0, 10.017844036732981, 44.38577871910242, [[-0.001529187585130502, 0.002008359832282733, -0.999996814], [-0.795620999, -0.605794706, 0.0], [-0.6057927759380666, 0.7956184641514972, 0.002524267]]
-30.0, 5.26391939432709, 47.04779054019551, [[2.8597002227629e-05, -1.2139602609716e-05, -1.0], [-0.390755548, -0.920494487, 0.0], [-0.920494487, 0.390755548, -3.1067e-05]]
-30.0, 1.6648221941052412, 47.70880354217742, [[2.9669203628647e-05, -3.2649167283e-07, -1.0], [-0.01100373, -0.999939457, 0.0], [-0.999939457, 0.01100373, -2.9671e-05]]
-30.0, -3.4919279951239446, 47.49791879474764, [[-0.000246290195345355, -3.332845551861e-05, -0.999999969], [0.134099646, -0.990967853, 0.0], [-0.9909678222799966, -0.13409964184291095, 0.000248535]]
-30.0, -8.54090657022109, 45.45651253346102, [[-0.00027981588727868996, -0.00016216379783466, -0.999999948], [0.501418626, -0.865204809, 0.0], [-0.8652047640093499, -0.5014185999262314, 0.00032341]]
-30.0, -11.353913813876517, 43.16534407722364, [[-0.000349007831953044, -0.000354182337991812, -0.999999876], [0.712290823, -0.701884451, 0.0], [-0.701884363966328, -0.712290734675938, 0.000497244]]
-30.0, -19.999998092651367, 33.83933907416175, [[-0.028573816901195412, -0.005537989765901208, -0.999576344], [0.190272716, -0.981731274, 0.0], [-0.9813153576553822, -0.1901921058222303, 0.029105538]]
9.985868309934212, -19.999998092651367, 32.372459593584054, [[-0.017865267745465332, -0.0022167638026626348, -0.999837946], [0.123137995, -0.992389558, 0.0], [-0.9922287373025678, -0.12311803999535827, 0.018002273]]
10.0, -19.999998092651367, 33.14033135188835, [[-0.017449103627275985, -0.0021808205071747197, -0.999845374], [0.12401696, -0.992280098, 0.0], [-0.9921266656975667, -0.12399778375354303, 0.017584857]]
10.0, -10.22155871723367, 44.908520281112764, [[0.0014959915908030618, 0.001922245691282548, -0.999997033], [0.789170812, -0.614173778, 0.0], [-0.6141719557464006, -0.7891684705302008, -0.002435779]]
10.0, -5.564655609395587, 47.516202958602236, [[-4.78053259448e-05, -2.0040501636552e-05, -0.999999999], [0.386613582, -0.9222418, 0.0], [-0.9222417990777583, -0.38661358161338644, 5.1836e-05]]
10.0, -2.0390093394093753, 48.1637258608166, [[-4.5548982043188006e-05, -6.05015130445e-07, -0.999999999], [0.013281565, -0.999911796, 0.0], [-0.9999117950000882, -0.013281564986718435, 4.5553e-05]]
10.0, 3.829794423702694, 47.958462957339165, [[0.00042048654394164, -5.668395174510001e-05, -0.99999991], [-0.13359719, -0.991035716, 0.0], [-0.9910356268067855, 0.1335971779762529, -0.00042429]]
10.0, 8.775439325961159, 45.958835147364496, [[0.00047448458955253993, -0.000270377112341456, -0.999999851], [-0.495093712, -0.86883958, 0.0], [-0.8688394505429026, 0.4950936382310369, -0.000546113]]
10.0, 11.530870813561464, 43.71456115948881, [[0.000527712376290144, -0.0005245057110276859, -0.999999723], [-0.704948579, -0.709258416, 0.0], [-0.7092582195354187, 0.7049483837292435, -0.000744034]]
10.0, 20.0, 34.57943055728118, [[0.028181419518686388, -0.005403006957929957, -0.999588223], [-0.188292959, -0.982112907, 0.0], [-0.9817084954934943, 0.18821542429022187, -0.028694684]]
-30.0, 20.0, 33.140333093059354, [[0.017449103627275985, -0.0021808205071747197, -0.999845374], [-0.12401696, -0.992280098, 0.0], [-0.9921266656975667, 0.12399778375354303, -0.017584857]]
-30.0, 10.221561505371085, 44.90851792891665, [[-0.001495992260642287, 0.0019222451700258419, -0.999997033], [-0.789170598, -0.614174053, 0.0], [-0.6141722307455848, 0.7891682565308357, 0.002435779]]
-30.0, 5.564655733218373, 47.5162029781507, [[4.78053259448e-05, -2.0040501636552e-05, -0.999999999], [-0.386613582, -0.9222418, 0.0], [-0.9222417990777583, 0.38661358161338644, -5.1836e-05]]
-30.0, 2.0390094962663596, 48.16372591886768, [[4.5548981952082e-05, -6.050231022200001e-07, -0.999999999], [-0.01328174, -0.999911794, 0.0], [-0.9999117930000881, 0.01328173998671826, -4.5553e-05]]
-30.0, -3.829793892539456, 47.958462384350405, [[-0.00042048651424134, -5.668417195161001e-05, -0.99999991], [0.133597709, -0.991035646, 0.0], [-0.9910355568067919, -0.1335976969762062, 0.00042429]]
-30.0, -8.775436483040657, 45.958836994745596, [[-0.000474484637064371, -0.00027037702933227996, -0.999999851], [0.49509356, -0.868839667, 0.0], [-0.8688395375428897, -0.49509348623105953, 0.000546113]]
-30.0, -11.530870720814775, 43.71456122081592, [[-0.000527712376290144, -0.0005245057110276859, -0.999999723], [0.704948579, -0.709258416, 0.0], [-0.7092582195354187, -0.7049483837292435, 0.000744034]]
-30.0, -19.999998092651367, 34.57942886555876, [[-0.028181419518686388, -0.005403006957929957, -0.999588223], [0.188292959, -0.982112907, 0.0], [-0.9817084954934943, -0.18821542429022187, 0.028694684]]
10.0, -19.999998092651367, 33.14033135188835, [[-0.017449103627275985, -0.0021808205071747197, -0.999845374], [0.12401696, -0.992280098, 0.0], [-0.9921266656975667, -0.12399778375354303, 0.017584857]]
10.0, -19.999998092651367, 33.908241137627805, [[-0.017036493082339607, -0.0021444433321584446, -0.999852569], [0.124888035, -0.992170841, 0.0], [-0.9920245642607405, -0.1248696226321119, 0.017170927]]
10.0, -10.425276210120792, 45.43125945706039, [[-7.2008164111224e-05, -5.466654156696001e-05, -0.999999996], [0.60466487, -0.796480003, 0.0], [-0.79647999981408, -0.6046648675813405, 9.0408e-05]]
10.0, -5.8653919198388, 47.984615410528974, [[-6.7086362568714e-05, -2.7767808640176e-05, -0.999999997], [0.382445096, -0.923978219, 0.0], [-0.9239782162280653, -0.3824450948526647, 7.2606e-05]]
10.0, -2.413196615937636, 48.618648251889894, [[-6.1428539765084e-05, -9.57393373804e-07, -0.999999998], [0.015583589, -0.999878569, 0.0], [-0.9998785670002429, -0.015583588968832822, 6.1436e-05]]
10.0, 4.167660336508739, 48.41900651675334, [[0.00059608951939152, -8.004597918912e-05, -0.999999819], [-0.133090548, -0.991103883, 0.0], [-0.9911037036101972, 0.13309052391061083, -0.00060144]]
10.0, 9.009969209955948, 46.461159627379935, [[0.0006709139205807361, -0.000375796764158144, -0.999999704], [-0.488687482, -0.872458908, 0.0], [-0.8724586497521633, 0.48868733734850534, -0.000768992]]
10.0, 11.707827751415287, 44.263778282638725, [[0.000709219518075736, -0.000690159253129064, -0.99999951], [-0.697410932, -0.716671468, 0.0], [-0.7166711168309807, 0.6974105902686434, -0.000989602]]
10.0, 20.0, 35.319520284057205, [[0.027790773068209568, -0.005270298496529202, -0.999599868], [-0.186321183, -0.982488889, 0.0], [-0.9820957637558666, 0.18624662993240385, -0.028286094]]
-30.0, 20.0, 33.908242820287285, [[0.017036493082339607, -0.0021444433321584446, -0.999852569], [-0.124888035, -0.992170841, 0.0], [-0.9920245642607405, 0.1248696226321119, -0.017170927]]
-30.0, 10.425278974009188, 45.431257138730885, [[7.2008154618384e-05, -5.4666554133672e-05, -0.999999996], [-0.604665009, -0.796479898, 0.0], [-0.7964798948140803, 0.6046650065813399, -9.0408e-05]]
-30.0, 5.865392072109657, 47.98461541610589, [[6.7086362568714e-05, -2.7767808640176e-05, -0.999999997], [-0.382445096, -0.923978219, 0.0], [-0.9239782162280653, 0.3824450948526647, -7.2606e-05]]
-30.0, 2.413196798427478, 48.61864829555793, [[6.1428539765084e-05, -9.57393373804e-07, -0.999999998], [-0.015583589, -0.999878569, 0.0], [-0.9998785670002429, 0.015583588968832822, -6.1436e-05]]
-30.0, -4.167659789954968, 48.41900597395316, [[-0.0005960894772907199, -8.004629133648e-05, -0.999999819], [0.133091067, -0.991103813, 0.0], [-0.9911036336102098, -0.13309104291051688, 0.00060144]]
-30.0, -9.009966395860218, 46.46116145603018, [[-0.000670913985945056, -0.000375796646502368, -0.999999704], [0.488687329, -0.872458993, 0.0], [-0.8724587347521381, -0.48868718434855063, 0.000768992]]
-30.0, -11.707827627753034, 44.26377836440822, [[-0.0007092193973442921, -0.0006901593768293139, -0.99999951], [0.697411057, -0.716671346, 0.0], [-0.7166709948310405, -0.697410715268582, 0.000989602]]
-30.0, -19.999998092651367, 35.31951865695577, [[-0.027790773068209568, -0.005270298496529202, -0.999599868], [0.186321183, -0.982488889, 0.0], [-0.9820957637558666, -0.18624662993240385, 0.028286094]]
10.0, -19.999998092651367, 33.908241137627805, [[-0.017036493082339607, -0.0021444433321584446, -0.999852569], [0.124888035, -0.992170841, 0.0], [-0.9920245642607405, -0.1248696226321119, 0.017170927]]
10.0, -19.999998092651367, 34.67615092336726, [[-0.016627437052056878, -0.0021076514868231546, -0.999859533], [0.125751223, -0.992061808, 0.0], [-0.9919224560540156, -0.12573355910295886, 0.016760485]]
10.0, -10.628993703007914, 45.95399863300803, [[-9.0685332385011e-05, -6.758033661767701e-05, -0.999999994], [0.597543141, -0.801836763, 0.0], [-0.8018367581889794, -0.5975431374147412, 0.000113097]]
10.0, -6.16612823028202, 48.45302786245572, [[-8.643756001725e-05, -3.531910028625e-05, -0.999999996], [0.37825007, -0.925703454, 0.0], [-0.9257034502971861, -0.3782500684869997, 9.3375e-05]]
10.0, -2.78738389246589, 49.0735706429632, [[-7.7654542523868e-05, -1.39101286332e-06, -0.999999997], [0.01790996, -0.999839604, 0.0], [-0.9998396010004812, -0.017909959946270117, 7.7667e-05]]
10.0, 4.505526249314784, 48.879550076167504, [[0.000773448544699357, -0.000103456185974135, -0.999999696], [-0.132578855, -0.991172461, 0.0], [-0.9911721596835719, 0.13257881469602809, -0.000780337]]
10.0, 9.244499093950736, 46.963484107395374, [[0.00086893883732205, -0.00047827961778860995, -0.999999508], [-0.482199903, -0.876061215, 0.0], [-0.8760607839778822, 0.4821996657576477, -0.00099187]]
10.0, 11.884784689269111, 44.81299540578864, [[0.0008935255325892609, -0.000851021339732421, -0.999999239], [-0.689674143, -0.724119863, 0.0], [-0.7241193119447842, 0.6896736181579771, -0.001233947]]
10.0, 20.0, 36.05961001083323, [[0.027401716451756705, -0.005139809417936165, -0.999611289], [-0.184357405, -0.982859271, 0.0], [-0.9824772227899103, 0.18428574324874503, -0.027879593]]
-30.0, 20.0, 34.676152547515215, [[0.016627437052056878, -0.0021076514868231546, -0.999859533], [-0.125751223, -0.992061808, 0.0], [-0.9919224560540156, 0.12573355910295886, -0.016760485]]
-30.0, 10.628996442647292, 45.95399634854512, [[9.0685332385011e-05, -6.758033661767701e-05, -0.999999994], [-0.597543141, -0.801836763, 0.0], [-0.8018367581889794, 0.5975431374147412, -0.000113097]]
-30.0, 6.1661284110009404, 48.453027854061084, [[8.643756001725e-05, -3.531910028625e-05, -0.999999996], [-0.37825007, -0.925703454, 0.0], [-0.9257034502971861, 0.3782500684869997, -9.3375e-05]]
-30.0, 2.7873841005885964, 49.073570672248195, [[7.7654542523868e-05, -1.39101286332e-06, -0.999999997], [-0.01790996, -0.999839604, 0.0], [-0.9998396010004812, 0.017909959946270117, -7.7667e-05]]
-30.0, -4.505525687370479, 48.879549563555926, [[-0.000773448490075767, -0.000103456590969038, -0.999999696], [0.132579374, -0.991172391, 0.0], [-0.9911720896835932, -0.1325793336958703, 0.000780337]]
