228.416, -40.095, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
226.861, -36.718, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.306, -33.340, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.751, -29.963, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.760, -30.644, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.813, -31.632, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
223.946, -32.613, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
224.157, -33.580, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
224.446, -34.527, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
224.810, -35.447, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.248, -36.335, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
225.755, -37.184, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
226.330, -37.990, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
226.968, -38.747, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
227.664, -39.450, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
228.416, -40.095, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
229.216, -40.676, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
230.061, -41.191, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
230.945, -41.636, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
231.862, -42.009, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
232.807, -42.306, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
233.772, -42.526, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
234.751, -42.667, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
235.666, -42.727, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
236.330, -42.741, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.287, -42.741, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.244, -42.741, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
251.201, -42.741, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.158, -42.741, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
261.115, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
266.072, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
271.029, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
275.986, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
280.943, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
285.900, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
290.857, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
295.814, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
300.771, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
305.728, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
310.685, -42.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
315.642, -42.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
320.599, -42.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
325.556, -42.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.513, -42.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
335.470, -42.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
336.167, -42.729, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
337.155, -42.675, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
338.136, -42.541, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
339.102, -42.328, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.049, -42.038, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.969, -41.673, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.856, -41.235, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
342.705, -40.726, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.510, -40.151, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.266, -39.512, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.969, -38.815, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.612, -38.063, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.193, -37.261, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.707, -36.415, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.151, -35.531, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.523, -34.614, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.819, -33.669, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.037, -32.704, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.178, -31.724, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.236, -30.824, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -30.160, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -25.238, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -20.316, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -15.393, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -10.471, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -5.549, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.250, -0.627, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 4.295, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 9.217, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 14.140, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 19.062, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 23.984, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.249, 28.906, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.240, 29.633, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.188, 30.621, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
348.056, 31.602, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.845, 32.569, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.557, 33.516, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
347.194, 34.437, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.757, 35.325, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
346.250, 36.175, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.677, 36.981, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
345.039, 37.739, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
344.343, 38.442, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
343.593, 39.087, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
342.792, 39.670, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.947, 40.185, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
341.064, 40.631, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
340.147, 41.004, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
339.203, 41.302, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
