J1 J2 J3 J5 J6
-13.0217 32.7472 71.1835 0.0 0.0
-12.089 32.3082 71.8676 0.0 0.0
-11.1369 31.8889 72.537 0.0 0.0
-11.2953 31.9127 72.4987 0.0 0.0
-11.5253 31.9547 72.431 0.0 0.0
-11.7491 32.0104 72.3415 0.0 0.0
-11.9652 32.0794 72.2309 0.0 0.0
-12.1721 32.1614 72.1003 0.0 0.0
-12.3684 32.2558 71.9506 0.0 0.0
-12.5527 32.3623 71.7826 0.0 0.0
-12.7238 32.4801 71.5979 0.0 0.0
-12.8803 32.6087 71.3976 0.0 0.0
-13.0217 32.7472 71.1835 0.0 0.0
-13.1471 32.8949 70.957 0.0 0.0
-13.2555 33.0507 70.7197 0.0 0.0
-13.3464 33.214 70.473 0.0 0.0
-13.4196 33.3834 70.2189 0.0 0.0
-13.4748 33.5582 69.9589 0.0 0.0
-13.5116 33.7372 69.695 0.0 0.0
-13.5301 33.9191 69.4285 0.0 0.0
-13.5303 34.1028 69.1618 0.0 0.0
-13.5127 34.2874 68.8956 0.0 0.0
-13.4719 34.4929 68.6014 0.0 0.0
-13.4401 34.6158 68.4265 0.0 0.0
-13.1878 35.5337 67.1454 0.0 0.0
-12.9447 36.48 65.8638 0.0 0.0
-12.7103 37.4539 64.5806 0.0 0.0
-12.4839 38.4551 63.2933 0.0 0.0
-12.2654 39.484 62.0 0.0 0.0
-12.0544 40.5403 60.6991 0.0 0.0
-11.8504 41.6249 59.3884 0.0 0.0
-11.6531 42.7378 58.0662 0.0 0.0
-11.4622 43.8803 56.7305 0.0 0.0
-11.2773 45.0536 55.3787 0.0 0.0
-11.0983 46.2587 54.0092 0.0 0.0
-10.9248 47.4976 52.6192 0.0 0.0
-10.7563 48.7723 51.2058 0.0 0.0
-10.5931 50.0851 49.7666 0.0 0.0
-10.4348 51.4392 48.2975 0.0 0.0
-10.281 52.8375 46.7954 0.0 0.0
-10.258 53.0382 46.5811 0.0 0.0
-10.2184 53.3246 46.2756 0.0 0.0
-10.1662 53.6069 45.975 0.0 0.0
-10.1013 53.8829 45.6818 0.0 0.0
-10.0245 54.1508 45.3974 0.0 0.0
-9.9362 54.4087 45.1243 0.0 0.0
-9.8372 54.6553 44.8635 0.0 0.0
-9.7281 54.8883 44.6175 0.0 0.0
-9.6097 55.1064 44.3873 0.0 0.0
-9.4825 55.3083 44.1747 0.0 0.0
-9.3475 55.4917 43.9816 0.0 0.0
-9.2055 55.6563 43.8087 0.0 0.0
-9.0573 55.8001 43.6575 0.0 0.0
-8.9038 55.9225 43.5291 0.0 0.0
-8.7458 56.0226 43.4243 0.0 0.0
-8.5846 56.0993 43.3437 0.0 0.0
-8.4207 56.1522 43.2883 0.0 0.0
-8.2553 56.1809 43.2582 0.0 0.0
-8.0891 56.185 43.2539 0.0 0.0
-7.9062 56.1616 43.2784 0.0 0.0
-7.7954 56.137 43.3043 0.0 0.0
-6.9848 55.9373 43.5136 0.0 0.0
-6.1715 55.7604 43.6994 0.0 0.0
-5.3556 55.6059 43.8617 0.0 0.0
-4.5374 55.4737 44.0007 0.0 0.0
-3.7176 55.3637 44.1164 0.0 0.0
-2.896 55.2757 44.2089 0.0 0.0
-2.0733 55.2098 44.2785 0.0 0.0
-1.2499 55.1657 44.3249 0.0 0.0
-0.4258 55.1435 44.3483 0.0 0.0
0.3985 55.1431 44.3486 0.0 0.0
1.2224 55.1643 44.3263 0.0 0.0
2.046 55.2076 44.2806 0.0 0.0
2.8686 55.2729 44.212 0.0 0.0
3.6902 55.3601 44.1202 0.0 0.0
4.5102 55.4693 44.0052 0.0 0.0
5.3283 55.6008 43.867 0.0 0.0
6.1443 55.7545 43.7055 0.0 0.0
6.9579 55.9308 43.5205 0.0 0.0
7.7685 56.1297 43.312 0.0 0.0
8.5761 56.3515 43.0797 0.0 0.0
8.6955 56.3834 43.0462 0.0 0.0
8.8604 56.4156 43.0126 0.0 0.0
9.0261 56.4231 43.0046 0.0 0.0
9.1918 56.4061 43.0225 0.0 0.0
9.3561 56.3646 43.0659 0.0 0.0
9.5184 56.2989 43.1346 0.0 0.0
9.6777 56.2096 43.2281 0.0 0.0
9.8332 56.0973 43.3459 0.0 0.0
9.9837 55.9631 43.4866 0.0 0.0
10.1284 55.8073 43.65 0.0 0.0
10.2668 55.6321 43.8341 0.0 0.0
10.3976 55.4378 44.0384 0.0 0.0
10.52 55.2262 44.2611 0.0 0.0
10.6335 54.9989 44.5008 0.0 0.0
10.7372 54.7572 44.7558 0.0 0.0
10.8306 54.5034 45.0242 0.0 0.0
10.9128 54.2384 45.3046 0.0 0.0
10.9833 53.9648 45.5948 0.0 0.0
11.0417 53.684 45.8931 0.0 0.0
11.0923 53.3605 46.2374 0.0 0.0
11.1167 53.1669 46.4436 0.0 0.0
11.2822 51.7621 47.9494 0.0 0.0
11.4526 50.4022 49.4212 0.0 0.0
11.6282 49.0843 50.8625 0.0 0.0
11.8092 47.805 52.2768 0.0 0.0
11.9958 46.562 53.6674 0.0 0.0
12.1883 45.3528 55.0371 0.0 0.0
12.387 44.1761 56.3879 0.0 0.0
12.592 43.0303 57.7224 0.0 0.0
12.804 41.9142 59.0426 0.0 0.0
13.0231 40.8266 60.3509 0.0 0.0
13.2497 39.7673 61.6486 0.0 0.0
13.4842 38.7356 62.9379 0.0 0.0
13.7269 37.7313 64.2208 0.0 0.0
13.9784 36.7543 65.499 0.0 0.0
14.2391 35.8046 66.7746 0.0 0.0
14.5095 34.8831 68.0492 0.0 0.0
14.5465 34.7549 68.2298 0.0 0.0
14.5912 34.5705 68.4909 0.0 0.0
14.6185 34.385 68.7555 0.0 0.0
14.6279 34.1995 69.0219 0.0 0.0
14.6195 34.0153 69.2886 0.0 0.0
14.5927 33.8334 69.5539 0.0 0.0
14.5478 33.655 69.816 0.0 0.0
