240.704, -54.525, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -49.760, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.260, -50.441, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.309, -51.174, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.438, -51.897, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.645, -52.602, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.927, -53.280, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.281, -53.924, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.704, -54.525, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.188, -55.077, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.730, -55.573, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.323, -56.007, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.959, -56.374, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.632, -56.670, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
244.332, -56.890, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.053, -57.034, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.820, -57.099, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.330, -57.111, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
251.271, -57.111, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.212, -57.111, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
261.154, -57.111, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
266.095, -57.111, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
271.036, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
275.977, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
280.919, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
285.860, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
290.801, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
295.743, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
300.684, -57.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
305.625, -57.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
310.566, -57.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
315.507, -57.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
320.449, -57.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
325.390, -57.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
326.088, -57.099, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
326.821, -57.049, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
327.544, -56.919, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
328.248, -56.711, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
328.926, -56.428, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
329.569, -56.074, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.170, -55.651, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.721, -55.165, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
331.216, -54.623, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
331.650, -54.030, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.016, -53.393, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.311, -52.720, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.531, -52.019, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.674, -51.299, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.738, -50.540, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -50.030, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -45.093, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -40.156, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -35.219, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -30.282, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -25.346, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -20.409, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -15.472, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -10.535, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -5.598, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.750, -0.661, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 4.276, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 9.213, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 14.150, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 19.087, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 24.023, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 28.960, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 33.897, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 38.834, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 43.771, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.749, 48.708, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.740, 49.435, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.691, 50.167, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.563, 50.891, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.357, 51.596, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
332.075, 52.274, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
331.721, 52.918, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
331.300, 53.520, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.816, 54.072, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
330.274, 54.568, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
329.682, 55.003, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
329.046, 55.370, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
328.374, 55.667, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
327.673, 55.888, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
326.953, 56.032, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
326.180, 56.098, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
325.670, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
320.729, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
315.789, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
310.848, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
305.907, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
300.967, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
296.026, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
291.086, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
286.145, 56.110, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
281.204, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
276.264, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
271.323, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
266.382, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
261.442, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.501, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
251.561, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.620, 56.109, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.922, 56.100, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.189, 56.051, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
244.466, 55.922, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.761, 55.716, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.083, 55.434, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.439, 55.080, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.838, 54.658, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.286, 54.173, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.790, 53.631, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.355, 53.039, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.988, 52.403, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.692, 51.730, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.471, 51.030, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.327, 50.309, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.261, 49.533, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 49.018, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 44.079, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 39.140, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 34.201, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 29.262, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 24.324, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 19.385, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 14.446, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 9.507, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, 4.568, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.250, -0.371, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -5.310, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -10.249, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -15.188, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -20.127, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -25.065, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -30.004, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -34.943, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -39.882, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -44.821, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
239.251, -49.760, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.750, -49.740, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.759, -50.421, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.808, -51.067, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
240.936, -51.702, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.141, -52.317, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.420, -52.901, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
241.768, -53.447, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.182, -53.946, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.654, -54.390, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.176, -54.772, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.742, -55.087, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
244.343, -55.331, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
244.969, -55.498, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.958, -55.611, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
250.921, -55.611, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
255.884, -55.611, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
260.847, -55.611, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
265.810, -55.611, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
270.774, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
275.737, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
280.700, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
285.663, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
290.626, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
295.589, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
300.552, -55.610, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
305.515, -55.609, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
310.479, -55.609, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
315.442, -55.609, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
320.405, -55.609, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
325.368, -55.609, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
326.066, -55.599, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
326.712, -55.550, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
327.347, -55.422, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
327.961, -55.216, 32.3, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
