245.608, -41.330, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.011, -37.434, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.492, -38.007, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
242.885, -38.457, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
243.152, -38.748, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.073, -40.780, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
245.608, -41.330, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.031, -41.747, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
246.302, -42.002, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
248.423, -43.937, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
249.268, -44.676, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
249.847, -45.149, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
251.963, -46.808, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
252.512, -47.227, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
253.047, -47.617, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
255.551, -49.307, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.296, -49.794, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
256.830, -50.127, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
257.171, -50.329, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
259.477, -51.642, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
260.548, -52.224, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
261.120, -52.514, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
263.526, -53.659, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
264.639, -54.164, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
265.260, -54.425, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
267.884, -55.442, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
268.599, -55.708, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
269.203, -55.918, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
269.577, -56.038, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
272.292, -56.865, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
272.920, -57.047, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
273.526, -57.210, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
276.504, -57.889, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
277.672, -58.131, 32.9, [[0, 0, -1], [0, -1, 0], [-1, 0, 0]]
